memberAddress,DelegateKey,proposalId,proposalIndex,address,blockNumber,vote
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,4,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7238734,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,5,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7250099,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,6,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7254474,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,7,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7254478,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,8,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7254480,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,9,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7287773,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,10,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7287775,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,undefined,11,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7295402,1,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,11,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7298190,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,12,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7320087,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,12,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7331153,1,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,13,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7333072,1,
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,undefined,20,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7351486,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,14,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7352415,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,15,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7352417,1,
