bafkreigjjhjx2j2b526d3poeg23w2xan4rcgnzvcxinsssv7n37lu5p7s4,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,active,423640.56516918045,2502.052456189641,427339.85566537414,1657125715
QmeoNQXWU7Uam1SYYLwT7pjnTbtU3qy81PEAcgdeHYkvuq,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,3164903.322213334,4490049.877252013,7655329.840184313,1656285741
QmWEfwveAg713g6GjPPEgzdh3cPPadB1zUGmhDuTtf82jg,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,7974820.476404228,4299.518447647121,7979465.991923551,1656285589
QmTZTSq9LguJFcWnoZKqmANWiNBBrJCUEC3vVEQbseR4YN,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,7977201.527804883,3212.841775985184,7980414.513825925,1656285501
QmTv4DARwft9sjaiBKpmqJj81YaBBGM5ejK995KrceJekH,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,7931374.500824241,47874.833548913935,7980511.743699276,1656285422
QmNYBB9fxtygJhDE6kjtUfdvTkY34J37oSDCZqjuzocAAR,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,107687.80111982713,1106057.1876255802,1229864.7894396137,1654526182
0x82fc4ccbda1070c19860e42bf3a2c3bf506468cd6952c5d31902b58e56d60c1d,0x9e6e344f94305d36eA59912b0911fE2c9149Ed3E,closed,4062369.1921392446,0,4062369.1921392446,1653306696
QmZjuu85i1dYhmfgoGi9gpRKs1u1e2w19tb2qCiFGXCXFp,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,7075600.135072062,1567.3209576024196,7088921.671852226,1652756806
QmVfGe7ZqUS4HZhpxssPXPKJF8sCctcEsN1Sybo3p4F4zb,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,9586540.758429635,858778.3216363458,10445319.080065982,1651653700
QmNqLbJf6x5HXSRy3FjcY5McpgGGnFho7GySmGZd8nXeKF,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,350710.75694752514,5633073.967823343,6064262.230059365,1651014876
QmX6ZJtJN3KxjYiFHKDy1CK4vkUVTEeqq5Wy2PwArgj8bH,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,6611792.833805346,39258.7964498837,7479318.365732023,1650349922
QmfW6KBcb7wSgKjGzcFSputWz2yjk1PTpgzvFDM7kMQcyu,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,6683122.225758805,829022.7777022598,7512145.003461067,1650349765
QmXpwPVwDoiL8HcKjq5aQAYVEc2mtLSmnYDt5q7JKunjff,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,closed,3879363.6985128294,516445.5693835789,4395810.544854847,1650347910
