aborted,applicant,cancelled,cancelledAt,createdAt,createdBy,didPass,executed,gracePeriodEnds,guildkick,isMinion,lootRequested,memberAddress,minionExecuteActionTx,newMember,noShares,noVotes,paymentRequested,paymentTokenDecimals,paymentTokenSymbol,processed,processor,processedAt,proposer,proposalId,proposalIndex,sharesRequested,sponsored,sponsor,sponsoredAt,startingPeriod,trade,tributeOffered,tributeTokenDecimals,tributeTokenSymbol,tributeToken,votingPeriodStarts,votingPeriodEnds,whitelist,yesShares,yesVotes,molochAddress,molochVersion,minionAddress,actions,escrow,status,title,description,link,proposalType
"false","0x4e547ac6695f41f79b7e34c66b5ea54e5768ba43","false","","1660432075","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","false","false","1661671972","false","false","0","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","","false","0","0","5000000000000000000","18","WETH","false","0x0000000000000000000000000000000000000000","","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","479","442","0","true","0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94","1660458154","10935","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1660462372","1661067172","false","1399","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","VotingPeriod","GM Bus Sponsorship Proposal ","$10k GM Bus - sponsorship / fund saving proposal","snapshot.org/#/mcv.eth/proposal/0x66fae909740af8c8ead91fc78349c57444b3429549eedc7642acd526679ba264","Funding Proposal"
"false","0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","false","","1656945096","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","false","1658158372","false","false","0","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","","false","0","0","500000000000","6","USDC","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1658251253","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","478","441","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1656945230","10447","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1656948772","1657553572","false","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Snapshot Investment 31","","hideout.metacartel.xyz/t/273","Funding Proposal"
"false","0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","false","","1656715047","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","false","1657927972","false","false","0","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","","false","0","0","71224655277111583510843","18","RAI","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1658004728","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","477","440","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1656718050","10415","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1656718372","1657323172","false","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Treasury management move","See attached link","discord.com/channels/694328313904234627/783775474941296681/992422074767384626","Funding Proposal"
"false","0x0000000000000000000000000000000000000000","false","","1655997532","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","false","1657553572","false","false","0","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","","false","0","0","0","","","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1657735369","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","476","439","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1656340569","10363","false","0","","","0x4170b069c1f2e6b706e23fc51adad38d43cd6ee0","1656343972","1656948772","true","5024","2","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Whitelist SAX","","etherscan.io/address/0x4170B069C1f2E6b706e23fc51aDAd38d43CD6eE0","Whitelist Token Proposal"
"false","0x0000000000000000000000000000000000000000","false","","1655927370","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","false","1657143172","false","false","0","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","","false","0","0","0","","","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1657198798","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","475","438","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1655931330","10306","false","0","","","0xfb5453340c03db5ade474b27e68b6a9c6b2823eb","1655933572","1656538372","true","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Whitelist ROBOT","","etherscan.io/address/0xfb5453340C03db5aDe474b27E68B6a9c6b2823Eb","Whitelist Token Proposal"
"false","0x24ffa28f130dc7798b03d0209322c574d731e9cf","false","","1655256814","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","true","false","1656473572","false","false","0","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","","false","0","0","20000000000","6","USDC","true","0xafcd4572408b322ada9890253a7a42a9fa4c2e40","1656535359","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","474","437","0","true","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","1655257015","10213","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1655263972","1655868772","false","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Sponsorship Proposal - MCON 2022","Proposal to be a "Headline" sponsor for MCON #2 in Denver 2022. ","snapshot.org/#/mcv.eth/proposal/0xba38678789dce4ae53f8073f67ec11ca1d912c7670034710c9c0963334a01c98","Funding Proposal"
"false","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","false","","1655240397","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","false","1656451972","false","false","0","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","","false","0","0","0","","","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1656469892","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","473","436","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1655240494","10210","false","500000000000000000","18","FLX","0x6243d8cea23066d098a15582d81a598b4e8391f4","1655242372","1655847172","false","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Activate FLX in treasury","Sweep FLX into Moloch treasury","","Funding Proposal"
"false","0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","false","","1654841692","0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94","false","false","1656055972","false","false","0","0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94","","false","1399","1","150000000000000000000","18","WETH","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1656340592","0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94","472","435","0","true","0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94","1654841805","10155","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1654846372","1655451172","false","0","0","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Failed","Snapshot Investment 30","Proposal to invest $250K in https://hideout.metacartel.xyz/t/snapshot-investment-vote-30/271 ","snapshot.org/#/mcv.eth/proposal/0x46ffeac21746d11982e1dc1a1023955f1e4fdffc5aadf141060dcf088a259cbb","Funding Proposal"
"false","0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963","false","","1654636352","0xa15ca74e65bf72730811abf95163e89ad9b9dff6","true","false","1655847172","false","false","0","0xa15ca74e65bf72730811abf95163e89ad9b9dff6","","false","0","0","250000000000","6","USDC","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1655927370","0xa15ca74e65bf72730811abf95163e89ad9b9dff6","471","434","0","true","0xa15ca74e65bf72730811abf95163e89ad9b9dff6","1654636641","10126","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1654637572","1655242372","false","771","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","Snapshot vote 24","investment of $250K ","hideout.metacartel.xyz/t/snapshot-vote-24-investment-memo/257","Funding Proposal"
"false","0x691daea0c55a76fc2260857b48d5703f18d80e2b","false","","1654051119","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","true","false","1655307172","false","false","0","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","","false","0","0","2500000000000000000","18","WETH","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1655927267","0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb","470","433","0","true","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","1654094771","10051","false","0","","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","1654097572","1654702372","false","4971","1","0x4570b4faf71e23942b8b9f934b47ccedf7540162","2","","","","Passed","MCV Sponsorship - DAO NYC","Transfer for sponsorship of DAO NYC event, approved via snapshot. ","snapshot.org/#/mcv.eth/proposal/0x90fadd0b92f66857e56690cec329ad21644611f4bd1243379b82a779686659bc","Funding Proposal"
