id,address,shares,isContract
0x0033aade458d0b39ce0b1ba2581859f2d5855555,0x0033aade458d0b39ce0b1ba2581859f2d5855555,100000,false,
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0,false,
0x03b8e0ab5505fad9c62c70806e8277b56d006937,0x03b8e0ab5505fad9c62c70806e8277b56d006937,100000,true,
0x06601571aa9d3e8f5f7cdd5b993192618964bab5,0x06601571aa9d3e8f5f7cdd5b993192618964bab5,100000,false,
0x082275c1fec5e8ec22b611bcb41a130d556b2151,0x082275c1fec5e8ec22b611bcb41a130d556b2151,100000,true,
0x0afecc5965a13840d93210a6985eeb216e2ad4ea,0x0afecc5965a13840d93210a6985eeb216e2ad4ea,0,false,
0x0db737faac55c104e2cca99e982ce8658cabbcc8,0x0db737faac55c104e2cca99e982ce8658cabbcc8,100000,true,
0x0dcba01c148bdfcc64eff213d60e16a0e53bbae4,0x0dcba01c148bdfcc64eff213d60e16a0e53bbae4,100000,false,
0x0efe994201e2b0136dd40d5033b5f437e4c5f958,0x0efe994201e2b0136dd40d5033b5f437e4c5f958,0,false,
0x108a1448970b6a4bb3f427cd42040634bffae725,0x108a1448970b6a4bb3f427cd42040634bffae725,0,true,
0x13575f5a3f83cd8608d0b0f5dbf299f0955b1a13,0x13575f5a3f83cd8608d0b0f5dbf299f0955b1a13,100000,false,
0x149592af062ff58bc35b6fdd98831dcf2b939932,0x149592af062ff58bc35b6fdd98831dcf2b939932,100000,false,
0x193bd90b68eb1df24d9c52d78960717b5e2ec9bb,0x193bd90b68eb1df24d9c52d78960717b5e2ec9bb,100000,false,
0x1b10dc8e54007ac01fd522745e03073ef2f10b22,0x1b10dc8e54007ac01fd522745e03073ef2f10b22,100000,false,
0x21a1f8c3eaae5014c9564ab77a1b2a207c9e4631,0x21a1f8c3eaae5014c9564ab77a1b2a207c9e4631,100000,false,
0x269b715edde8d5f9961cb627931f91dab4866f5f,0x269b715edde8d5f9961cb627931f91dab4866f5f,0,false,
0x292d76ef68931cda7c2fb2b580df263dca3d9b9b,0x292d76ef68931cda7c2fb2b580df263dca3d9b9b,200000,false,
0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,500000,false,
0x2d2d2a1f9bfda0d2364b4d517f862e52fefc2703,0x2d2d2a1f9bfda0d2364b4d517f862e52fefc2703,100000,false,
0x2d81713c58452c92c19b2917e1c770eecf53fe41,0x2d81713c58452c92c19b2917e1c770eecf53fe41,0,true,
0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,0,false,
0x2e160bca6767ca5b39a9e95510df8fe5211362e6,0x2e160bca6767ca5b39a9e95510df8fe5211362e6,100000,true,
0x2f88b73f90ae3896b5c73c8e10b17424b2058efd,0x2f88b73f90ae3896b5c73c8e10b17424b2058efd,0,false,
0x370de8e14fd6f054b17220a3882bef2960a159f3,0x370de8e14fd6f054b17220a3882bef2960a159f3,0,false,
0x37d63956b91e1c1552df0b776a34ef5725a40598,0x37d63956b91e1c1552df0b776a34ef5725a40598,100000,false,
0x3c44ccfae554eb4a15041217203c61bf068d6c33,0x3c44ccfae554eb4a15041217203c61bf068d6c33,100000,false,
0x3d2db55e5dcdfb4ea7b2180f3f7bfe8255a8df49,0x3d2db55e5dcdfb4ea7b2180f3f7bfe8255a8df49,100000,false,
0x407d1349a1179472c29dc58431ce9bfca3f5fecd,0x407d1349a1179472c29dc58431ce9bfca3f5fecd,400000,false,
0x43a5c1331375f1f34bd774ecaee51501e9ca2db5,0x43a5c1331375f1f34bd774ecaee51501e9ca2db5,0,false,
0x46a968f38f2ef98eb51cc8c8a2c641fd47042964,0x46a968f38f2ef98eb51cc8c8a2c641fd47042964,100000,false,
0x4727e9e3bc4f59f82304abbd683087d41c975263,0x4727e9e3bc4f59f82304abbd683087d41c975263,0,false,
0x4816002145ed229fa979f4e81344270560f3d6a7,0x4816002145ed229fa979f4e81344270560f3d6a7,0,false,
0x4a775b2b650dc1e2f07567465b6a70fc04909953,0x4a775b2b650dc1e2f07567465b6a70fc04909953,0,true,
0x4cb2ccbf80ddf2c12f8199b75c849cfa658ba9b5,0x4cb2ccbf80ddf2c12f8199b75c849cfa658ba9b5,100000,false,
0x4f567a2f63466973592ac94ea09ce59d02b00f24,0x4f567a2f63466973592ac94ea09ce59d02b00f24,100000,false,
0x512e07a093aaa20ba288392eadf03838c7a4e522,0x512e07a093aaa20ba288392eadf03838c7a4e522,100000,false,
0x549b33cb1a3d851f2039d19264f76df3612cfbd7,0x549b33cb1a3d851f2039d19264f76df3612cfbd7,0,true,
0x5bcfbbe06d2de987d185ac1c0a17f98db028ee45,0x5bcfbbe06d2de987d185ac1c0a17f98db028ee45,100000,false,
0x5c8238ca05ab54c5177b1205414642ce95238ac5,0x5c8238ca05ab54c5177b1205414642ce95238ac5,100000,false,
